CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031102943943001EY0F;24/02/2025;5;0,281;0;;R
ES0031102943943001EY0F;24/02/2025;6;0,294;0;;R
ES0031102943943001EY0F;24/02/2025;7;0,284;0;;R
ES0031102943943001EY0F;24/02/2025;8;0,663;0;;R
ES0031102943943001EY0F;24/02/2025;9;0,884;0;;R
ES0031102943943001EY0F;24/02/2025;10;0;0,073;;R
ES0031102943943001EY0F;24/02/2025;11;0;0,404;;R
ES0031102943943001EY0F;24/02/2025;12;0;0,998;;R
ES0031102943943001EY0F;24/02/2025;13;0;2,008;;R
ES0031102943943001EY0F;24/02/2025;14;0;1,668;;R
ES0031102943943001EY0F;24/02/2025;15;0;0,205;;R
ES0031102943943001EY0F;24/02/2025;16;0;0,993;;R
ES0031102943943001EY0F;24/02/2025;17;0;1,312;;R
ES0031102943943001EY0F;24/02/2025;18;0;0,683;;R
ES0031102943943001EY0F;24/02/2025;19;0,644;0;;R
ES0031102943943001EY0F;24/02/2025;20;0,796;0;;R
ES0031102943943001EY0F;24/02/2025;21;1,132;0;;R
ES0031102943943001EY0F;24/02/2025;22;1,804;0;;R
ES0031102943943001EY0F;24/02/2025;23;1,525;0;;R
ES0031102943943001EY0F;24/02/2025;24;2,117;0;;R
ES0031102943943001EY0F;25/02/2025;1;0,927;0;;R
ES0031102943943001EY0F;25/02/2025;2;0,298;0;;R
ES0031102943943001EY0F;25/02/2025;3;0,29;0;;R
ES0031102943943001EY0F;25/02/2025;4;0,278;0;;R
ES0031102943943001EY0F;25/02/2025;5;0,276;0;;R
ES0031102943943001EY0F;25/02/2025;6;0,273;0;;R
ES0031102943943001EY0F;25/02/2025;7;0,274;0;;R
ES0031102943943001EY0F;25/02/2025;8;0,27;0;;R
ES0031102943943001EY0F;25/02/2025;9;0,601;0;;R
ES0031102943943001EY0F;25/02/2025;10;0,785;0;;R
ES0031102943943001EY0F;25/02/2025;11;0,319;0;;R
ES0031102943943001EY0F;25/02/2025;12;0;1,611;;R
ES0031102943943001EY0F;25/02/2025;13;0;1,991;;R
ES0031102943943001EY0F;25/02/2025;14;0;2,272;;R
ES0031102943943001EY0F;25/02/2025;15;0;2,161;;R
ES0031102943943001EY0F;25/02/2025;16;0;2,035;;R
ES0031102943943001EY0F;25/02/2025;17;0;1,022;;R
ES0031102943943001EY0F;25/02/2025;18;0,183;0;;R
ES0031102943943001EY0F;25/02/2025;19;0,241;0;;R
ES0031102943943001EY0F;25/02/2025;20;0,391;0;;R
ES0031102943943001EY0F;25/02/2025;21;0,493;0;;R
ES0031102943943001EY0F;25/02/2025;22;0,755;0;;R
ES0031102943943001EY0F;25/02/2025;23;1,828;0;;R
ES0031102943943001EY0F;25/02/2025;24;0,985;0;;R
ES0031102943943001EY0F;26/02/2025;1;0,624;0;;R
ES0031102943943001EY0F;26/02/2025;2;0,229;0;;R
ES0031102943943001EY0F;26/02/2025;3;0,224;0;;R
ES0031102943943001EY0F;26/02/2025;4;0,221;0;;R
ES0031102943943001EY0F;26/02/2025;5;0,216;0;;R
ES0031102943943001EY0F;26/02/2025;6;0,221;0;;R
ES0031102943943001EY0F;26/02/2025;7;0,207;0;;R
ES0031102943943001EY0F;26/02/2025;8;0,427;0;;R
ES0031102943943001EY0F;26/02/2025;9;0,778;0;;R
ES0031102943943001EY0F;26/02/2025;10;0,272;0;;R
ES0031102943943001EY0F;26/02/2025;11;0;0,744;;R
ES0031102943943001EY0F;26/02/2025;12;0;1,868;;R
ES0031102943943001EY0F;26/02/2025;13;0;1,369;;R
ES0031102943943001EY0F;26/02/2025;14;0;1,123;;R
ES0031102943943001EY0F;26/02/2025;15;0;2,209;;R
ES0031102943943001EY0F;26/02/2025;16;0;1,966;;R
ES0031102943943001EY0F;26/02/2025;17;0;0,31;;R
ES0031102943943001EY0F;26/02/2025;18;0,14;0;;R
ES0031102943943001EY0F;26/02/2025;19;0,429;0;;R
ES0031102943943001EY0F;26/02/2025;20;0,576;0;;R
ES0031102943943001EY0F;26/02/2025;21;0,422;0;;R
ES0031102943943001EY0F;26/02/2025;22;1,079;0;;R
ES0031102943943001EY0F;26/02/2025;23;1,644;0;;R
ES0031102943943001EY0F;26/02/2025;24;1,655;0;;R
ES0031102943943001EY0F;27/02/2025;1;0,372;0;;R
ES0031102943943001EY0F;27/02/2025;2;0,302;0;;R
ES0031102943943001EY0F;27/02/2025;3;0,284;0;;R
ES0031102943943001EY0F;27/02/2025;4;0,295;0;;R
ES0031102943943001EY0F;27/02/2025;5;0,281;0;;R
ES0031102943943001EY0F;27/02/2025;6;0,295;0;;R
ES0031102943943001EY0F;27/02/2025;7;0,281;0;;R
ES0031102943943001EY0F;27/02/2025;8;0,835;0;;R
ES0031102943943001EY0F;27/02/2025;9;0,983;0;;R
ES0031102943943001EY0F;27/02/2025;10;0,918;0;;R
ES0031102943943001EY0F;27/02/2025;11;0;0,462;;R
ES0031102943943001EY0F;27/02/2025;12;0;2,102;;R
ES0031102943943001EY0F;27/02/2025;13;0;2,364;;R
ES0031102943943001EY0F;27/02/2025;14;0;2,445;;R
ES0031102943943001EY0F;27/02/2025;15;0;2,147;;R
ES0031102943943001EY0F;27/02/2025;16;0;1,54;;R
ES0031102943943001EY0F;27/02/2025;17;0;0,806;;R
ES0031102943943001EY0F;27/02/2025;18;0;0,408;;R
ES0031102943943001EY0F;27/02/2025;19;0,24;0;;R
ES0031102943943001EY0F;27/02/2025;20;0,797;0;;R
ES0031102943943001EY0F;27/02/2025;21;0,459;0;;R
ES0031102943943001EY0F;27/02/2025;22;0,87;0;;R
ES0031102943943001EY0F;27/02/2025;23;0,954;0;;R
ES0031102943943001EY0F;27/02/2025;24;0,654;0;;R
ES0031102943943001EY0F;28/02/2025;1;0,414;0;;R
ES0031102943943001EY0F;28/02/2025;2;0,295;0;;R
ES0031102943943001EY0F;28/02/2025;3;0,287;0;;R
ES0031102943943001EY0F;28/02/2025;4;0,272;0;;R
ES0031102943943001EY0F;28/02/2025;5;0,281;0;;R
ES0031102943943001EY0F;28/02/2025;6;0,281;0;;R
ES0031102943943001EY0F;28/02/2025;7;0,274;0;;R
ES0031102943943001EY0F;28/02/2025;8;0,283;0;;R
ES0031102943943001EY0F;28/02/2025;9;0,189;0;;R
ES0031102943943001EY0F;28/02/2025;10;0,503;0;;R
ES0031102943943001EY0F;28/02/2025;11;0,789;0;;R
ES0031102943943001EY0F;28/02/2025;12;0,947;0;;R
ES0031102943943001EY0F;28/02/2025;13;1,436;0;;R
ES0031102943943001EY0F;28/02/2025;14;1,508;0;;R
ES0031102943943001EY0F;28/02/2025;15;1,77;0;;R
ES0031102943943001EY0F;28/02/2025;16;1,12;0;;R
ES0031102943943001EY0F;28/02/2025;17;0,89;0;;R
ES0031102943943001EY0F;28/02/2025;18;0,36;0;;R
ES0031102943943001EY0F;28/02/2025;19;0,44;0;;R
ES0031102943943001EY0F;28/02/2025;20;0,295;0;;R
ES0031102943943001EY0F;28/02/2025;21;0,248;0;;R
ES0031102943943001EY0F;28/02/2025;22;0,991;0;;R
ES0031102943943001EY0F;28/02/2025;23;1,437;0;;R
ES0031102943943001EY0F;28/02/2025;24;0,972;0;;R
ES0031102943943001EY0F;01/03/2025;1;0,607;0;;R
ES0031102943943001EY0F;01/03/2025;2;0,273;0;;R
ES0031102943943001EY0F;01/03/2025;3;0,244;0;;R
ES0031102943943001EY0F;01/03/2025;4;0,234;0;;R
ES0031102943943001EY0F;01/03/2025;5;0,241;0;;R
ES0031102943943001EY0F;01/03/2025;6;0,224;0;;R
ES0031102943943001EY0F;01/03/2025;7;0,243;0;;R
ES0031102943943001EY0F;01/03/2025;8;0,218;0;;R
